日付,価格
1986-11-21,163.56
1986-11-24,163.83
1986-11-25,162.11
1986-11-26,162.42
1986-11-27,162.35
1986-11-28,161.48
1986-12-01,161.78
1986-12-02,161.64
1986-12-03,161.78
1986-12-04,162.25
1986-12-05,161.71
1986-12-08,162.11
1986-12-09,162.08
1986-12-10,162.08
1986-12-11,162.08
1986-12-12,162.65
1986-12-15,162.65
1986-12-16,163.26
1986-12-17,162.99
1986-12-18,162.38
1986-12-19,162.65
1986-12-22,162.08
1986-12-23,162.08
1986-12-24,161.0
1986-12-29,158.31
1986-12-30,159.36
1986-12-31,157.47
1987-01-02,158.02
1987-01-05,159.13
1987-01-06,158.75
1987-01-07,157.75
1987-01-08,158.21
1987-01-09,158.02
1987-01-12,156.78
1987-01-13,155.61
1987-01-14,153.36
1987-01-15,153.04
1987-01-16,153.2
1987-01-19,150.79
1987-01-20,152.6
1987-01-21,153.74
1987-01-22,151.87
1987-01-23,152.93
1987-01-26,152.5
1987-01-27,151.66
1987-01-28,151.93
1987-01-29,151.98
1987-01-30,153.58
1987-02-02,152.71
1987-02-03,152.23
1987-02-04,152.55
1987-02-05,153.58
1987-02-06,154.26
1987-02-09,152.17
1987-02-10,152.5
1987-02-11,153.58
1987-02-12,154.07
1987-02-13,153.58
1987-02-16,153.47
1987-02-17,153.2
1987-02-18,153.74
1987-02-19,153.9
1987-02-20,153.47
1987-02-23,153.52
1987-02-24,153.8
1987-02-25,153.58
1987-02-26,153.04
1987-02-27,153.15
1987-03-02,153.42
1987-03-03,153.58
1987-03-04,153.58
1987-03-05,153.74
1987-03-06,153.36
1987-03-09,153.58
1987-03-10,153.47
1987-03-11,153.69
1987-03-12,153.58
1987-03-13,152.39
1987-03-16,151.44
1987-03-17,151.55
1987-03-18,151.87
1987-03-19,151.33
1987-03-20,151.6
1987-03-23,150.19
1987-03-24,149.35
1987-03-25,149.3
1987-03-26,149.35
1987-03-27,147.05
1987-03-30,146.16
1987-03-31,145.78
1987-04-01,147.0
1987-04-02,146.46
1987-04-03,145.94
1987-04-06,145.78
1987-04-07,145.56
1987-04-08,145.78
1987-04-09,143.85
1987-04-10,142.77
1987-04-13,141.99
1987-04-14,140.58
1987-04-15,141.66
1987-04-16,142.82
1987-04-17,142.99
1987-04-20,142.04
1987-04-21,142.5
1987-04-22,142.09
1987-04-23,140.58
1987-04-24,139.25
1987-04-27,139.3
1987-04-28,139.85
1987-04-29,138.49
1987-04-30,140.74
1987-05-01,139.68
1987-05-04,139.03
1987-05-05,139.09
1987-05-06,138.87
1987-05-07,139.14
1987-05-08,139.73
1987-05-11,139.49
1987-05-12,139.83
1987-05-13,140.29
1987-05-14,139.14
1987-05-15,139.58
1987-05-18,140.1
1987-05-19,139.49
1987-05-20,139.73
1987-05-21,140.58
1987-05-22,140.83
1987-05-25,141.0
1987-05-26,144.39
1987-05-27,143.39
1987-05-28,143.49
1987-05-29,143.88
1987-06-01,144.98
1987-06-02,140.95
1987-06-03,143.37
1987-06-04,144.37
1987-06-05,143.88
1987-06-08,143.34
1987-06-09,142.05
1987-06-10,141.93
1987-06-11,142.41
1987-06-12,143.88
1987-06-15,144.88
1987-06-16,144.78
1987-06-17,145.03
1987-06-18,144.59
1987-06-19,144.73
1987-06-22,146.25
1987-06-23,146.08
1987-06-24,144.59
1987-06-25,146.13
1987-06-26,146.32
1987-06-29,146.74
1987-06-30,146.83
1987-07-01,146.88
1987-07-02,147.4
1987-07-03,148.79
1987-07-06,148.88
1987-07-07,150.18
1987-07-08,150.35
1987-07-09,150.13
1987-07-10,150.74
1987-07-13,150.86
1987-07-14,151.13
1987-07-15,148.79
1987-07-16,150.79
1987-07-17,152.91
1987-07-20,152.6
1987-07-21,151.76
1987-07-22,152.28
1987-07-23,151.18
1987-07-24,149.4
1987-07-27,150.59
1987-07-28,150.13
1987-07-29,150.79
1987-07-30,149.49
1987-07-31,149.98
1987-08-03,151.28
1987-08-04,151.79
1987-08-05,150.81
1987-08-06,151.4
1987-08-07,151.74
1987-08-10,150.98
1987-08-11,151.18
1987-08-12,151.08
1987-08-13,151.5
1987-08-14,149.98
1987-08-17,149.18
1987-08-18,146.2
1987-08-19,143.73
1987-08-20,144.64
1987-08-21,142.15
1987-08-24,141.93
1987-08-25,143.59
1987-08-26,142.88
1987-08-27,141.68
1987-08-28,141.8
1987-08-31,142.44
1987-09-01,141.39
1987-09-02,140.68
1987-09-03,141.0
1987-09-04,141.9
1987-09-07,141.78
1987-09-08,141.54
1987-09-09,141.87
1987-09-10,142.34
1987-09-11,143.8
1987-09-14,144.51
1987-09-15,143.44
1987-09-16,143.71
1987-09-17,143.54
1987-09-18,142.47
1987-09-21,142.97
1987-09-22,144.27
1987-09-23,143.84
1987-09-24,143.24
1987-09-25,143.37
1987-09-28,144.3
1987-09-29,146.51
1987-09-30,146.44
1987-10-01,146.11
1987-10-02,146.88
1987-10-05,146.54
1987-10-06,146.57
1987-10-07,145.07
1987-10-08,144.34
1987-10-09,143.6
1987-10-12,142.97
1987-10-13,143.97
1987-10-14,142.24
1987-10-15,142.04
1987-10-16,142.34
1987-10-19,142.27
1987-10-20,143.94
1987-10-21,144.51
1987-10-22,144.84
1987-10-23,141.54
1987-10-26,142.3
1987-10-27,140.97
1987-10-28,138.57
1987-10-29,138.63
1987-10-30,138.3
1987-11-02,136.9
1987-11-03,137.3
1987-11-04,136.53
1987-11-05,134.86
1987-11-06,134.79
1987-11-09,134.26
1987-11-10,134.66
1987-11-11,134.86
1987-11-12,135.73
1987-11-13,135.56
1987-11-16,136.13
1987-11-17,135.53
1987-11-18,135.13
1987-11-19,135.33
1987-11-20,135.4
1987-11-23,134.66
1987-11-24,134.59
1987-11-25,134.83
1987-11-26,134.43
1987-11-27,133.29
1987-11-30,132.29
1987-12-01,133.29
1987-12-02,132.39
1987-12-03,132.79
1987-12-04,132.46
1987-12-07,132.93
1987-12-08,132.52
1987-12-09,132.09
1987-12-10,129.05
1987-12-11,128.25
1987-12-14,127.95
1987-12-15,127.52
1987-12-16,126.85
1987-12-17,125.75
1987-12-18,126.95
1987-12-21,126.45
1987-12-22,126.25
1987-12-23,126.45
1987-12-24,125.45
1987-12-25,125.12
1987-12-28,123.45
1987-12-29,123.42
1987-12-30,123.15
1987-12-31,121.01
1988-01-04,123.15
1988-01-05,128.22
1988-01-06,129.32
1988-01-07,130.26
1988-01-08,128.32
1988-01-11,128.49
1988-01-12,127.34
1988-01-13,127.25
1988-01-14,125.97
1988-01-15,131.02
1988-01-18,129.69
1988-01-19,128.46
1988-01-20,127.21
1988-01-21,127.19
1988-01-22,127.19
1988-01-25,128.03
1988-01-26,127.56
1988-01-27,127.02
1988-01-28,126.97
1988-01-29,127.97
1988-02-01,129.34
1988-02-02,128.19
1988-02-03,128.19
1988-02-04,127.88
1988-02-05,129.34
1988-02-08,128.87
1988-02-09,128.68
1988-02-10,128.97
1988-02-11,129.3
1988-02-12,130.98
1988-02-15,130.04
1988-02-16,130.34
1988-02-17,130.08
1988-02-18,130.24
1988-02-19,130.18
1988-02-22,129.24
1988-02-23,128.87
1988-02-24,128.71
1988-02-25,128.42
1988-02-26,128.34
1988-02-29,128.19
1988-03-01,128.38
1988-03-02,129.42
1988-03-03,129.1
1988-03-04,128.58
1988-03-07,127.76
1988-03-08,127.8
1988-03-09,128.13
1988-03-10,127.88
1988-03-11,127.25
1988-03-14,126.86
1988-03-15,127.34
1988-03-16,127.49
1988-03-17,128.68
1988-03-18,127.88
1988-03-21,126.92
1988-03-22,126.97
1988-03-23,126.73
1988-03-24,125.48
1988-03-25,125.07
1988-03-28,123.75
1988-03-29,125.04
1988-03-30,124.93
1988-03-31,124.29
1988-04-01,123.89
1988-04-04,124.11
1988-04-05,125.22
1988-04-06,125.97
1988-04-07,125.63
1988-04-08,125.65
1988-04-11,126.31
1988-04-12,126.73
1988-04-13,126.41
1988-04-14,123.58
1988-04-15,123.92
1988-04-18,124.24
1988-04-19,124.24
1988-04-20,124.21
1988-04-21,124.36
1988-04-22,124.75
1988-04-25,124.6
1988-04-26,124.99
1988-04-27,124.83
1988-04-28,124.48
1988-04-29,125.09
1988-05-02,124.79
1988-05-03,125.14
1988-05-04,124.68
1988-05-05,125.04
1988-05-06,124.73
1988-05-09,124.77
1988-05-10,124.34
1988-05-11,124.46
1988-05-12,124.46
1988-05-13,124.73
1988-05-16,124.89
1988-05-17,125.62
1988-05-18,124.92
1988-05-19,124.84
1988-05-20,124.79
1988-05-23,124.48
1988-05-24,124.18
1988-05-25,124.38
1988-05-26,124.48
1988-05-27,124.87
1988-05-30,124.97
1988-05-31,125.17
1988-06-01,125.38
1988-06-02,126.18
1988-06-03,126.02
1988-06-06,125.69
1988-06-07,125.39
1988-06-08,125.53
1988-06-09,124.58
1988-06-10,124.79
1988-06-13,125.08
1988-06-14,126.47
1988-06-15,126.28
1988-06-16,125.54
1988-06-17,125.72
1988-06-20,126.26
1988-06-21,126.38
1988-06-22,128.86
1988-06-23,128.55
1988-06-24,130.43
1988-06-27,131.14
1988-06-28,132.97
1988-06-29,132.58
1988-06-30,133.12
1988-07-01,134.39
1988-07-04,135.34
1988-07-05,133.97
1988-07-06,132.92
1988-07-07,132.72
1988-07-08,133.07
1988-07-11,132.82
1988-07-12,132.28
1988-07-13,132.68
1988-07-14,133.28
1988-07-15,135.44
1988-07-18,134.39
1988-07-19,133.12
1988-07-20,133.77
1988-07-21,131.68
1988-07-22,130.88
1988-07-25,132.28
1988-07-26,132.38
1988-07-27,131.58
1988-07-28,132.58
1988-07-29,133.15
1988-08-01,132.56
1988-08-02,132.92
1988-08-03,132.71
1988-08-04,133.0
1988-08-05,133.82
1988-08-08,133.72
1988-08-09,135.06
1988-08-10,133.62
1988-08-11,132.85
1988-08-12,132.77
1988-08-15,133.23
1988-08-16,133.67
1988-08-17,133.9
1988-08-18,133.33
1988-08-19,133.53
1988-08-22,133.62
1988-08-23,134.12
1988-08-24,133.77
1988-08-25,133.26
1988-08-26,133.8
1988-08-29,134.54
1988-08-30,134.87
1988-08-31,136.49
1988-09-01,136.23
1988-09-02,135.83
1988-09-05,135.88
1988-09-06,134.87
1988-09-07,133.36
1988-09-08,133.53
1988-09-09,133.61
1988-09-12,133.33
1988-09-13,133.36
