日付,価格
2021-11-08,2042.105
2021-11-09,2029.81
2021-11-10,2012.815
2021-11-11,2010.4499999999998
2021-11-12,2032.2849999999999
2021-11-15,2050.62
2021-11-16,2050.535
2021-11-17,2046.955
2021-11-18,2034.245
2021-11-19,2039.6999999999998
2021-11-22,2039.55
2021-11-24,2029.29
2021-11-25,2026.41
2021-11-26,2000.2649999999999
2021-11-29,1951.7350000000001
2021-11-30,1949.05
2021-12-01,1933.81
2021-12-02,1925.355
2021-12-03,1946.4299999999998
2021-12-06,1954.46
2021-12-07,1975.9699999999998
2021-12-08,2004.21
2021-12-09,1995.925
2021-12-10,1981.025
2021-12-13,1984.8000000000002
2021-12-14,1975.24
2021-12-15,1977.675
2021-12-16,2009.815
2021-12-17,1994.3000000000002
2021-12-20,1954.3049999999998
2021-12-21,1967.595
2021-12-22,1974.165
2021-12-23,1985.1550000000002
2021-12-24,1990.0349999999999
2021-12-27,1982.27
2021-12-28,2000.075
2021-12-29,2000.065
2021-12-30,1991.955
2022-01-04,2022.915
2022-01-05,2039.03
2022-01-06,2012.615
2022-01-07,2002.49
2022-01-11,1990.215
2022-01-12,2009.59
2022-01-13,2009.8
2022-01-14,1985.27
2022-01-17,1987.0149999999999
2022-01-18,1986.835
2022-01-19,1936.9099999999999
2022-01-20,1927.5549999999998
2022-01-21,1922.17
2022-01-24,1920.5549999999998
2022-01-25,1908.0749999999998
2022-01-26,1896.11
2022-01-27,1872.3400000000001
2022-01-28,1869.835
2022-01-31,1884.4050000000002
2022-02-01,1901.57
2022-02-02,1922.995
2022-02-03,1922.595
2022-02-04,1923.4099999999999
2022-02-07,1925.6
2022-02-08,1932.78
2022-02-09,1949.3600000000001
2022-02-10,1963.185
2022-02-14,1934.3400000000001
2022-02-15,1924.23
2022-02-16,1944.1550000000002
2022-02-17,1937.755
2022-02-18,1917.105
2022-02-21,1905.9450000000002
2022-02-22,1882.205
2022-02-24,1864.07
2022-02-25,1870.83
2022-02-28,1882.1550000000002
2022-03-01,1900.255
2022-03-02,1867.525
2022-03-03,1881.225
2022-03-04,1858.45
2022-03-07,1808.0149999999999
2022-03-08,1768.65
2022-03-09,1762.66
2022-03-10,1808.3899999999999
2022-03-11,1805.4
2022-03-14,1812.355
2022-03-15,1819.0700000000002
2022-03-16,1847.22
2022-03-17,1889.665
2022-03-18,1903.125
2022-03-22,1928.335
2022-03-23,1967.54
2022-03-24,1969.885
2022-03-25,1987.49
2022-03-28,1977.83
2022-03-29,1988.525
2022-03-30,1973.8049999999998
2022-03-31,1949.68
2022-04-01,1938.655
2022-04-04,1950.0900000000001
2022-04-05,1958.2399999999998
2022-04-06,1928.9
2022-04-07,1896.345
2022-04-08,1900.58
2022-04-11,1891.17
2022-04-12,1871.9250000000002
2022-04-13,1879.605
2022-04-14,1901.445
2022-04-15,1893.5149999999999
2022-04-18,1880.42
2022-04-19,1896.875
2022-04-20,1913.435
2022-04-21,1921.9450000000002
2022-04-22,1906.685
2022-04-25,1875.845
2022-04-26,1880.0
2022-04-27,1857.075
2022-04-28,1882.395
2022-05-02,1899.135
2022-05-06,1909.1550000000002
2022-05-09,1889.115
2022-05-10,1861.9050000000002
2022-05-11,1852.775
2022-05-12,1833.105
2022-05-13,1850.4850000000001
2022-05-16,1873.355
2022-05-17,1866.03
2022-05-18,1881.815
2022-05-19,1855.4499999999998
2022-05-20,1869.62
2022-05-23,1893.65
2022-05-24,1887.165
2022-05-25,1876.3449999999998
2022-05-26,1878.2649999999999
2022-05-27,1892.6399999999999
2022-05-30,1913.93
2022-05-31,1914.8899999999999
2022-06-01,1927.77
2022-06-02,1928.39
2022-06-03,1935.52
2022-06-06,1929.375
2022-06-07,1946.81
2022-06-08,1962.26
2022-06-09,1967.53
2022-06-10,1946.625
2022-06-13,1907.26
2022-06-14,1876.125
2022-06-15,1865.13
2022-06-16,1872.835
2022-06-17,1836.7350000000001
2022-06-20,1832.46
2022-06-21,1847.95
2022-06-22,1861.525
2022-06-23,1850.975
2022-06-24,1859.1399999999999
2022-06-27,1885.815
2022-06-28,1896.45
2022-06-29,1893.355
2022-06-30,1878.9499999999998
2022-07-01,1860.315
2022-07-04,1864.745
2022-07-05,1880.605
2022-07-06,1860.315
2022-07-07,1875.81
2022-07-08,1888.43
2022-07-11,1913.74
2022-07-12,1895.49
2022-07-13,1888.375
2022-07-14,1885.2800000000002
2022-07-15,1894.575
2022-07-19,1904.51
2022-07-20,1936.79
2022-07-21,1944.675
2022-07-22,1950.755
2022-07-25,1943.92
2022-07-26,1943.625
2022-07-27,1942.2849999999999
2022-07-28,1951.6399999999999
2022-07-29,1945.585
2022-08-01,1951.585
2022-08-02,1936.585
2022-08-03,1928.685
2022-08-04,1934.4
2022-08-05,1936.9
2022-08-08,1945.6950000000002
2022-08-09,1943.67
2022-08-10,1934.76
2022-08-12,1963.74
2022-08-15,1980.15
2022-08-16,1982.065
2022-08-17,1998.335
2022-08-18,1991.44
2022-08-19,1997.3
2022-08-22,1985.955
2022-08-23,1975.855
2022-08-24,1970.13
2022-08-25,1974.685
2022-08-26,1981.74
2022-08-29,1945.82
2022-08-30,1962.915
2022-08-31,1957.13
2022-09-01,1940.595
2022-09-02,1934.58
2022-09-05,1927.3049999999998
2022-09-06,1928.0549999999998
2022-09-07,1918.26
2022-09-08,1945.705
2022-09-09,1961.98
2022-09-12,1980.87
2022-09-13,1983.975
2022-09-14,1951.4250000000002
2022-09-15,1949.46
2022-09-16,1938.1999999999998
2022-09-20,1949.185
2022-09-21,1926.885
2022-09-22,1910.145
2022-09-26,1878.22
2022-09-27,1872.8600000000001
2022-09-28,1858.335
2022-09-29,1862.44
2022-09-30,1846.855
2022-10-03,1837.4499999999998
2022-10-04,1891.94
2022-10-05,1917.5700000000002
2022-10-06,1918.295
2022-10-07,1902.585
2022-10-11,1879.4650000000001
2022-10-12,1868.135
2022-10-13,1860.35
2022-10-14,1890.12
2022-10-17,1880.395
2022-10-18,1901.72
2022-10-19,1903.24
2022-10-20,1892.73
2022-10-21,1885.595
2022-10-24,1894.885
2022-10-25,1902.6350000000002
2022-10-26,1917.4099999999999
2022-10-27,1911.21
2022-10-28,1896.99
2022-10-31,1922.755
2022-11-01,1936.475
2022-11-02,1936.94
2022-11-04,1920.22
2022-11-07,1931.83
2022-11-08,1951.28
2022-11-09,1953.4850000000001
2022-11-10,1935.605
2022-11-11,1970.705
2022-11-14,1965.885
2022-11-15,1961.22
2022-11-16,1963.885
2022-11-17,1964.5349999999999
2022-11-18,1969.4099999999999
2022-11-21,1972.53
2022-11-22,1988.925
2022-11-24,2016.455
2022-11-25,2018.75
2022-11-28,2011.46
2022-11-29,1993.435
2022-11-30,1985.34
2022-12-01,1991.5900000000001
2022-12-02,1961.6599999999999
2022-12-05,1950.45
2022-12-06,1946.375
2022-12-07,1943.7849999999999
2022-12-08,1942.28
2022-12-09,1954.78
2022-12-12,1954.78
2022-12-13,1969.625
2022-12-14,1971.96
2022-12-15,1970.625
2022-12-16,1953.18
2022-12-19,1935.99
2022-12-20,1921.855
2022-12-21,1899.44
2022-12-22,1905.37
2022-12-23,1895.94
2022-12-26,1901.44
2022-12-27,1912.27
2022-12-28,1907.885
2022-12-29,1893.83
2022-12-30,1896.99
2023-01-04,1873.67
2023-01-05,1868.6750000000002
2023-01-06,1870.415
2023-01-10,1884.285
2023-01-11,1895.9
2023-01-12,1906.72
2023-01-13,1903.01
2023-01-16,1889.22
2023-01-17,1897.25
2023-01-18,1922.0900000000001
2023-01-19,1919.045
2023-01-20,1920.2849999999999
2023-01-23,1945.145
2023-01-24,1965.9050000000002
2023-01-25,1974.165
2023-01-26,1980.875
2023-01-27,1983.17
2023-01-30,1982.165
2023-01-31,1981.4099999999999
2023-02-01,1978.175
2023-02-02,1970.035
2023-02-03,1966.495
2023-02-06,1981.75
2023-02-07,1984.16
2023-02-08,1985.185
2023-02-09,1980.655
2023-02-10,1985.405
2023-02-13,1981.02
2023-02-14,1993.895
2023-02-15,1992.9450000000002
2023-02-16,1998.59
2023-02-17,1990.0700000000002
2023-02-20,1997.53
2023-02-21,1997.9099999999999
2023-02-22,1980.175
2023-02-24,1982.325
2023-02-27,1988.025
2023-02-28,1995.46
2023-03-01,1993.595
2023-03-02,1998.12
2023-03-03,2012.415
2023-03-06,2034.795
2023-03-07,2039.99
2023-03-08,2045.875
2023-03-09,2067.4
2023-03-10,2040.2849999999999
2023-03-13,2005.9450000000002
2023-03-14,1960.73
2023-03-15,1963.395
2023-03-16,1933.08
2023-03-17,1955.94
2023-03-20,1939.565
2023-03-22,1959.72
2023-03-23,1950.8449999999998
2023-03-24,1952.935
2023-03-27,1962.755
2023-03-28,1969.75
2023-03-29,1983.3600000000001
2023-03-30,1983.965
2023-03-31,2001.325
2023-04-03,2016.365
2023-04-04,2021.1799999999998
2023-04-05,1995.32
2023-04-06,1963.975
2023-04-07,1965.4650000000001
2023-04-10,1976.9
2023-04-11,1991.8899999999999
2023-04-12,2002.97
2023-04-13,2004.3200000000002
2023-04-14,2016.73
2023-04-17,2025.71
2023-04-18,2037.295
2023-04-19,2039.855
2023-04-20,2035.55
2023-04-21,2033.615
2023-04-24,2038.78
2023-04-25,2044.055
2023-04-26,2026.635
2023-04-27,2025.615
2023-04-28,2053.6400000000003
2023-05-01,2074.215
2023-05-02,2079.735
2023-05-08,2072.23
2023-05-09,2086.995
2023-05-10,2091.265
2023-05-11,2082.315
2023-05-12,2092.39
2023-05-15,2111.13
2023-05-16,2126.05
2023-05-17,2131.2250000000004
2023-05-18,2155.565
2023-05-19,2164.425
2023-05-22,2167.085
2023-05-23,2172.585
2023-05-24,2152.33
2023-05-25,2144.19
2023-05-26,2148.79
2023-05-29,2165.96
2023-05-30,2157.795
2023-05-31,2136.9300000000003
2023-06-01,2140.0299999999997
2023-06-02,2171.01
2023-06-05,2214.9700000000003
2023-06-06,2221.24
2023-06-07,2225.8900000000003
2023-06-08,2199.3199999999997
2023-06-09,2215.065
2023-06-12,2236.3450000000003
2023-06-13,2257.33
2023-06-14,2288.665
2023-06-15,2294.125
2023-06-16,2296.545
2023-06-19,2299.7200000000003
2023-06-20,2283.005
2023-06-21,2284.09
2023-06-22,2295.225
2023-06-23,2286.2
2023-06-26,2259.6549999999997
2023-06-27,2256.9049999999997
2023-06-28,2284.335
2023-06-29,2300.75
2023-06-30,2289.725
2023-07-03,2314.2
2023-07-04,2308.52
2023-07-05,2300.3950000000004
2023-07-06,2284.9700000000003
2023-07-07,2256.965
2023-07-10,2249.59
2023-07-11,2246.245
2023-07-12,2231.19
2023-07-13,2235.7
2023-07-14,2244.415
2023-07-18,2245.76
2023-07-19,2275.79
2023-07-20,2269.045
2023-07-21,2259.8999999999996
2023-07-24,2279.965
2023-07-25,2284.455
2023-07-26,2284.195
2023-07-27,2286.13
2023-07-28,2281.3
2023-07-31,2319.645
2023-08-01,2332.1800000000003
2023-08-02,2308.95
2023-08-03,2275.96
